Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-11-11T11:08:16.014Z","Included","composer-1","No","0","29839","246016","9054","284909","0.13"
"2025-11-11T10:39:08.047Z","Included","composer-1","No","0","5759","44448","735","50942","0.02"
"2025-11-06T22:16:28.076Z","Included","composer-1","No","0","15651","291968","4351","311970","0.11"
"2025-11-06T22:09:57.067Z","Included","composer-1","No","0","8442","84992","1530","94964","0.04"
"2025-11-06T21:57:34.232Z","Included","composer-1","No","0","4896","69792","1319","76007","0.03"
"2025-11-06T21:41:21.049Z","Included","composer-1","No","0","57924","527040","11152","596116","0.23"
"2025-11-06T21:25:02.285Z","Included","composer-1","No","0","23438","894752","9100","927290","0.28"
"2025-11-06T21:18:12.907Z","Included","composer-1","No","0","24047","751168","5622","780837","0.23"
"2025-11-06T21:15:59.546Z","Included","composer-1","No","0","44337","303008","2493","349838","0.13"
"2025-11-06T21:12:40.918Z","Included","composer-1","No","0","43399","184960","3264","231623","0.10"
"2025-11-06T21:07:07.091Z","Included","composer-1","No","0","6506","217152","2227","225885","0.07"
"2025-11-06T21:06:25.930Z","Included","composer-1","No","0","8688","269088","1481","279257","0.08"
"2025-11-06T21:04:22.118Z","Included","composer-1","No","0","55300","406368","2671","464339","0.17"
"2025-11-06T16:17:46.634Z","Included","composer-1","No","0","19944","260064","5363","285371","0.11"
"2025-11-06T16:01:04.283Z","Included","composer-1","No","0","20946","445216","4996","471158","0.15"
"2025-11-06T15:54:54.279Z","Included","composer-1","No","0","22373","145824","2117","170314","0.07"
"2025-11-06T15:45:55.813Z","Included","composer-1","No","0","41466","867072","8522","917060","0.29"
"2025-11-06T15:35:22.308Z","Included","composer-1","No","0","32833","1012288","9417","1054538","0.32"
"2025-11-06T15:26:32.634Z","Included","composer-1","No","0","63245","687072","9606","759923","0.27"
